id,district,sub_district,village_code,village_name,coverage_type,lgd_code,gram_panchayat_ulb,latitude,longitude,elevation_m,slope_deg,distance_to_stream_m,catchment_sqkm,rainfall_1h_mm,rainfall_24h_mm,soil_moisture_pct,water_level_m,water_level_rate_mh,risk_score,risk_level,alert_status
TN-NIL-931891-1,The Nilgiris,Coonoor,931891,Adigaratty1,FULL,252607,Adikaratti(Town Panchayat),11.31688,76.78217,1832,23.7,351.8,39.6,4.8,34.5,36.9,0.75,0.01,20,LOW,NORMAL
TN-NIL-931894-2,The Nilgiris,Coonoor,931894,Adigaratty2,FULL,252607,Adikaratti(Town Panchayat),11.35038,76.80366,1781,22.2,608.5,32.1,67.8,224.6,86.5,2.4,0.24,83,VERY HIGH,ACTIVE
TN-NIL-635115-3,The Nilgiris,Coonoor,635115,Aravankad (Ts) (Ct),N/A,N/A,N/A,11.33084,76.82336,1859,25.3,293.7,45.7,45.3,168.1,83.4,3.53,0.34,81,VERY HIGH,ACTIVE
TN-NIL-635112-4,The Nilgiris,Coonoor,635112,Burliyar,FULL,228962,Burliar(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.32324,76.80228,1802,22.4,348.0,37.5,64.3,207.4,93.6,2.64,0.3,90,VERY HIGH,ACTIVE
TN-NIL-635113-5,The Nilgiris,Coonoor,635113,Coonoor Rural,PART,228960,Bandishola(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.33084,76.82336,1859,25.3,293.7,45.7,45.3,168.1,83.4,3.53,0.34,81,VERY HIGH,ACTIVE
TN-NIL-635113-6,The Nilgiris,Coonoor,635113,Coonoor Rural,PART,228961,Beratty(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.36194,76.81151,1827,26.0,369.1,42.0,3.6,39.6,28.6,0.92,0.03,21,MODERATE,NORMAL
TN-NIL-635113-7,The Nilgiris,Coonoor,635113,Coonoor Rural,PART,306136,Chinna Karumpalam(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.38339,76.79506,1853,23.7,629.7,44.4,65.9,192.4,87.8,2.44,0.17,84,VERY HIGH,ACTIVE
TN-NIL-635113-8,The Nilgiris,Coonoor,635113,Coonoor Rural,PART,306138,Kil Bharath Nagar(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.33612,76.82588,1885,19.4,577.5,37.8,35.4,188.3,82.8,2.74,0.26,69,HIGH,ACTIVE
TN-NIL-635113-9,The Nilgiris,Coonoor,635113,Coonoor Rural,PART,306135,Vasampallam(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.32379,76.77709,1766,26.4,348.3,9.9,21.1,89.6,61.1,1.8,0.05,41,ELEVATED,MONITORING
TN-NIL-933766-10,The Nilgiris,Coonoor,933766,Coonoor Town,FULL,252605,Coonoor(Municipality),11.36909,76.79876,1866,18.8,71.2,22.5,64.9,197.6,89.7,3.35,0.16,85,VERY HIGH,ACTIVE
TN-NIL-635116-11,The Nilgiris,Coonoor,635116,Hubbathala (Ct),N/A,N/A,N/A,11.31479,76.76248,1853,21.2,357.1,43.7,35.4,203.3,79.9,3.37,0.35,73,HIGH,ACTIVE
TN-NIL-910517-12,The Nilgiris,Coonoor,910517,Hubhathalai,PART,306136,Chinna Karumpalam(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.3283,76.76249,1763,25.4,155.9,46.4,23.6,101.1,74.7,1.59,0.05,52,ELEVATED,MONITORING
TN-NIL-910517-13,The Nilgiris,Coonoor,910517,Hubhathalai,PART,228963,Hubbathalai(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.36383,76.83408,1763,22.6,608.4,7.2,16.4,80.9,64.1,1.55,0.06,37,MODERATE,NORMAL
TN-NIL-910517-14,The Nilgiris,Coonoor,910517,Hubhathalai,PART,306135,Vasampallam(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.34766,76.81907,1882,20.6,576.0,33.1,53.5,174.1,78.7,3.03,0.18,75,HIGH,ACTIVE
TN-NIL-931899-15,The Nilgiris,Coonoor,931899,Hulical1,FULL,252608,Huligal(Town Panchayat),11.38053,76.83477,1905,20.7,297.0,19.1,26.1,100.2,73.4,1.51,0.08,47,ELEVATED,MONITORING
TN-NIL-931900-16,The Nilgiris,Coonoor,931900,Hulical2,FULL,252608,Huligal(Town Panchayat),11.35784,76.77035,1889,20.8,298.6,20.7,67.4,243.8,92.5,3.7,0.13,88,VERY HIGH,ACTIVE
TN-NIL-931911-17,The Nilgiris,Coonoor,931911,Ketti1,FULL,252603,Kethi(Town Panchayat),11.36908,76.79626,1862,20.4,333.2,44.9,63.6,185.9,93.9,3.42,0.22,91,VERY HIGH,ACTIVE
TN-NIL-931913-18,The Nilgiris,Coonoor,931913,Ketti2,FULL,252603,Kethi(Town Panchayat),11.38549,76.75946,1768,21.4,431.0,7.3,49.0,200.9,80.5,3.11,0.35,75,HIGH,ACTIVE
TN-NIL-931915-19,The Nilgiris,Coonoor,931915,Ketti3,FULL,252603,Kethi(Town Panchayat),11.3307,76.80738,1836,25.8,571.3,10.8,3.8,32.5,29.0,0.99,-0.02,16,LOW,NORMAL
TN-NIL-635114-20,The Nilgiris,Coonoor,635114,Melur1,PART,306132,Arukutchi(Gram Panchayat)-Coonoor(Panchayat Samiti)-The Nilgiris(Zila Panchayat),11.38586,76.83228,1784,22.3,513.7,41.3,32.0,194.7,83.2,3.43,0.16,70,HIGH,ACTIVE
